code,vowel,prec_sound,foll_sound,prec_boundary,post_boundary,lexical_category,voice,stressed_syllable,word,prec_word,foll_word
231,ai,m,b,x,word,noun,modal,y,my ,for,birthday
232,ai,na,l,sentence,word,noun,creaky,y,I,na,like
233,ai,l,k,x,x,verb,modal,y,like ,I,to
234,ai,m,b,x,word,noun,modal,y,my ,for,birthday
235,ai,na,l,sentence,word,noun,creaky,y,I,na,like
236,ai,l,k,x,x,verb,modal,y,like ,I,to
237,ai,m,b,x,word,noun,modal,y,my ,for,birthday
238,ai,na,l,sentence,word,noun,creaky,y,I,na,like
239,ai,l,k,x,x,verb,modal,y,like ,I,to
240,ai,m,b,x,word,noun,modal,y,my ,for,birthday
241,ai,na,l,sentence,word,noun,creaky,y,I,na,like
242,ai,l,k,x,x,verb,modal,y,like ,I,to
243,ai,m,b,x,word,noun,modal,y,my ,for,birthday
244,ai,na,l,sentence,word,noun,creaky,y,I,na,like
245,ai,l,k,x,x,verb,modal,y,like ,I,to
246,ai,m,b,x,word,noun,modal,y,my ,for,birthday
247,ai,na,l,sentence,word,noun,creaky,y,I,na,like
248,ai,l,k,x,x,verb,modal,y,like ,I,to
249,ai,m,b,x,word,noun,modal,y,my ,for,birthday
250,ai,na,l,sentence,word,noun,creaky,y,I,na,like
251,ai,l,k,x,x,verb,modal,y,like ,I,to
252,ai,m,b,x,word,noun,modal,y,my ,for,birthday
253,ai,na,l,sentence,word,noun,creaky,y,I,na,like
254,ai,l,k,x,x,verb,modal,y,like ,I,to
255,ai,m,b,x,word,noun,modal,y,my ,for,birthday
256,ai,na,l,sentence,word,noun,creaky,y,I,na,like
257,ai,l,k,x,x,verb,modal,y,like ,I,to
258,ai,m,b,x,word,noun,modal,y,my ,for,birthday
259,ai,na,l,sentence,word,noun,creaky,y,I,na,like
260,ai,l,k,x,x,verb,modal,y,like ,I,to
261,ai,m,b,x,word,noun,modal,y,my ,for,birthday
262,ai,na,l,sentence,word,noun,creaky,y,I,na,like
263,ai,l,k,x,x,verb,modal,y,like ,I,to
264,ai,m,b,x,word,noun,modal,y,my ,for,birthday
265,ai,na,l,sentence,word,noun,creaky,y,I,na,like
266,ai,l,k,x,x,verb,modal,y,like ,I,to
267,ai,m,b,x,word,noun,modal,y,my ,for,birthday
268,ai,na,l,sentence,word,noun,creaky,y,I,na,like
269,ai,l,k,x,x,verb,modal,y,like ,I,to
270,ai,m,b,x,word,noun,modal,y,my ,for,birthday
271,ai,na,l,sentence,word,noun,creaky,y,I,na,like
272,ai,l,k,x,x,verb,modal,y,like ,I,to
273,ai,m,b,x,word,noun,modal,y,my ,for,birthday
274,ai,na,l,sentence,word,noun,creaky,y,I,na,like
275,ai,l,k,x,x,verb,modal,y,like ,I,to
276,ai,m,b,x,word,noun,modal,y,my ,for,birthday
277,ai,na,l,sentence,word,noun,creaky,y,I,na,like
278,ai,l,k,x,x,verb,modal,y,like ,I,to
279,ai,m,b,x,word,noun,modal,y,my ,for,birthday
280,ai,na,l,sentence,word,noun,creaky,y,I,na,like
281,ai,l,k,x,x,verb,modal,y,like ,I,to
282,ai,m,b,x,word,noun,modal,y,my ,for,birthday
283,ai,na,l,sentence,word,noun,creaky,y,I,na,like
284,ai,l,k,x,x,verb,modal,y,like ,I,to
285,ai,m,b,x,word,noun,modal,y,my ,for,birthday
286,ai,na,l,sentence,word,noun,creaky,y,I,na,like
287,ai,l,k,x,x,verb,modal,y,like ,I,to
288,ai,m,b,x,word,noun,modal,y,my ,for,birthday
289,e,r,ʃ,x,x,adjective,modal,y,fresh,big,bag
290,e,l,ɾ,x,x,noun,modal,y,lettuce,of,sat
291,e,k,tʃ,x,x,noun,modal,y,ketchup,the,na
292,e,r,ʃ,x,x,adjective,modal,y,fresh,big,bag
293,e,l,ɾ,x,x,noun,modal,y,lettuce,of,sat
294,e,k,tʃ,x,x,noun,modal,y,ketchup,the,na
295,e,r,ʃ,x,x,adjective,modal,y,fresh,big,bag
296,e,l,ɾ,x,x,noun,modal,y,lettuce,of,sat
297,e,k,tʃ,x,x,noun,modal,y,ketchup,the,na
298,e,r,ʃ,x,x,adjective,modal,y,fresh,big,bag
299,e,l,ɾ,x,x,noun,modal,y,lettuce,of,sat
300,e,k,tʃ,x,x,noun,modal,y,ketchup,the,na
301,e,r,ʃ,x,x,adjective,modal,y,fresh,big,bag
302,e,l,ɾ,x,x,noun,modal,y,lettuce,of,sat
303,e,k,tʃ,x,x,noun,modal,y,ketchup,the,na
