code,vowel,prec_sound,foll_sound,prec_boundary,post_boundary,lexical_category,voice,stressed_syllable,word,prec_word,foll_word
547,i,l,z,x,x,function,modal ,y,please,na,see
548,i,s,ɛ,x,word,verb,modal ,y,see,please,any
549,i,l,f,x,x,noun,modal ,y,leaf,any,na
550,i,l,z,x,x,function,modal ,y,please,na,see
551,i,s,ɛ,x,word,verb,modal ,y,see,please,any
552,i,l,f,x,x,noun,modal ,y,leaf,any,na
553,i,l,z,x,x,function,modal ,y,please,na,see
554,i,s,ɛ,x,word,verb,modal ,y,see,please,any
555,i,l,f,x,x,noun,modal ,y,leaf,any,na
556,i,l,z,x,x,function,modal ,y,please,na,see
557,i,s,ɛ,x,word,verb,modal ,y,see,please,any
558,i,l,f,x,x,noun,modal ,y,leaf,any,na
559,i,l,z,x,x,function,modal ,y,please,na,see
560,i,s,ɛ,x,word,verb,modal ,y,see,please,any
561,i,l,f,x,x,noun,modal ,y,leaf,any,na
562,i,l,z,x,x,function,modal ,y,please,na,see
563,i,s,ɛ,x,word,verb,modal ,y,see,please,any
564,i,l,f,x,x,noun,modal ,y,leaf,any,na
565,i,l,z,x,x,function,modal ,y,please,na,see
566,i,s,ɛ,x,word,verb,modal ,y,see,please,any
567,i,l,f,x,x,noun,modal ,y,leaf,any,na
568,i,l,z,x,x,function,modal ,y,please,na,see
569,i,s,ɛ,x,word,verb,modal ,y,see,please,any
570,i,l,f,x,x,noun,modal ,y,leaf,any,na
571,i,l,z,x,x,function,modal ,y,please,na,see
572,i,s,ɛ,x,word,verb,modal ,y,see,please,any
573,i,l,f,x,x,noun,modal ,y,leaf,any,na
574,i,l,z,x,x,function,modal ,y,please,na,see
575,i,s,ɛ,x,word,verb,modal ,y,see,please,any
576,i,l,f,x,x,noun,modal ,y,leaf,any,na
577,ih,b,g,x,x,adjective,modal,y,big,a,fresh
578,ih,t,n,word,x,function,creaky,y,in,sat,the
579,ih,m,d,x,x,noun,modal,y,middle,the,of
580,ih,b,g,x,x,adjective,modal,y,big,a,fresh
