filename,interval_label,start,end,steptime,stepnumber,f0,jumpkilleffect
BF1_mono.mat,BF1_mono.mat_86.291_2138.409,86.291,2138.409,965.7701428571429,9,244.3909296170496,1
BF1_mono.mat,BF1_mono.mat_86.291_2138.409,86.291,2138.409,1063.4900476190476,10,185.93348399987107,1
BF1_mono.mat,BF1_mono.mat_86.291_2138.409,86.291,2138.409,1161.2099523809522,11,193.25804055084697,1
BF1_mono.mat,BF1_mono.mat_86.291_2138.409,86.291,2138.409,1258.929857142857,12,200.58259710182287,1
BF1_mono.mat,BF1_mono.mat_86.291_2138.409,86.291,2138.409,1356.6497619047618,13,182.05615330713732,1
BF1_mono.mat,BF1_mono.mat_86.291_2138.409,86.291,2138.409,1454.3696666666665,14,159.96158363325557,1
BF1_mono.mat,BF1_mono.mat_86.291_2138.409,86.291,2138.409,1552.0895714285714,15,125.00771102016257,1
BF1_mono.mat,BF1_mono.mat_86.291_2138.409,86.291,2138.409,1649.809476190476,16,154.68608250860726,1
BF1_mono.mat,BF1_mono.mat_86.291_2138.409,86.291,2138.409,1747.5293809523807,17,151.92039514843393,1
BF1_mono.mat,BF1_mono.mat_86.291_2138.409,86.291,2138.409,1845.2492857142856,18,149.15470778826054,1
BF1_mono.mat,BF1_mono.mat_86.291_2138.409,86.291,2138.409,1942.9691904761903,19,146.3890204280872,1
BF1_mono.mat,BF1_mono.mat_86.291_2138.409,86.291,2138.409,2040.6890952380952,20,143.62333306791385,1
BF1_raising.mat,BF1_raising.mat_84.249_3923.981,84.249,3923.981,267.0933809523809,1,163.2822395925214,1
BF1_raising.mat,BF1_raising.mat_84.249_3923.981,84.249,3923.981,449.93776190476194,2,250.7218116076569,1
BF1_raising.mat,BF1_raising.mat_84.249_3923.981,84.249,3923.981,632.7821428571428,3,228.6187429980091,1
BF1_raising.mat,BF1_raising.mat_84.249_3923.981,84.249,3923.981,815.6265238095239,4,239.71839002949693,1
BF1_raising.mat,BF1_raising.mat_84.249_3923.981,84.249,3923.981,998.4709047619049,5,204.15138025706938,1
BF1_raising.mat,BF1_raising.mat_84.249_3923.981,84.249,3923.981,1181.3152857142857,6,188.99670806970806,1
BF1_raising.mat,BF1_raising.mat_84.249_3923.981,84.249,3923.981,1364.1596666666667,7,180.31734924986904,1
BF1_raising.mat,BF1_raising.mat_84.249_3923.981,84.249,3923.981,1547.0040476190477,8,176.2010042630636,1
BF1_raising.mat,BF1_raising.mat_84.249_3923.981,84.249,3923.981,1729.8484285714287,9,181.06560612890456,1
BF1_raising.mat,BF1_raising.mat_84.249_3923.981,84.249,3923.981,1912.6928095238097,10,190.10988480140435,1
BF1_raising.mat,BF1_raising.mat_84.249_3923.981,84.249,3923.981,2095.5371904761905,11,171.98358196700946,1
BF1_raising.mat,BF1_raising.mat_84.249_3923.981,84.249,3923.981,2278.381571428571,12,183.13482230140988,1
BF1_raising.mat,BF1_raising.mat_84.249_3923.981,84.249,3923.981,2461.225952380952,13,222.06333596186172,1
BF1_raising.mat,BF1_raising.mat_84.249_3923.981,84.249,3923.981,2644.070333333333,14,210.1416714560484,1
BF1_raising.mat,BF1_raising.mat_84.249_3923.981,84.249,3923.981,2826.914714285714,15,222.36687945706004,1
BF1_raising.mat,BF1_raising.mat_84.249_3923.981,84.249,3923.981,3009.759095238095,16,146.17053368950275,1
BF1_raising.mat,BF1_raising.mat_84.249_3923.981,84.249,3923.981,3192.603476190476,17,204.66686852159208,1
BF1_raising.mat,BF1_raising.mat_84.249_3923.981,84.249,3923.981,3375.447857142857,18,146.4763075258075,1
BF1_raising.mat,BF1_raising.mat_84.249_3923.981,84.249,3923.981,3558.292238095238,19,139.85725626514267,1
BF1_raising.mat,BF1_raising.mat_84.249_3923.981,84.249,3923.981,3741.136619047619,20,145.4202845590599,1
BF2_central.mat,BF2_central.mat_126.62_1247.243,126.62,1247.243,179.983,1,253.63558663764218,1
BF2_central.mat,BF2_central.mat_126.62_1247.243,126.62,1247.243,233.346,2,276.6801732752844,1
BF2_central.mat,BF2_central.mat_126.62_1247.243,126.62,1247.243,286.709,3,299.7247599129266,1
BF2_central.mat,BF2_central.mat_126.62_1247.243,126.62,1247.243,340.072,4,300.9993513468854,1
BF2_central.mat,BF2_central.mat_126.62_1247.243,126.62,1247.243,393.435,5,301.48925718662645,1
BF2_central.mat,BF2_central.mat_126.62_1247.243,126.62,1247.243,446.798,6,301.9791630263674,1
BF2_central.mat,BF2_central.mat_126.62_1247.243,126.62,1247.243,500.161,7,260.6191772581271,1
BF2_central.mat,BF2_central.mat_126.62_1247.243,126.62,1247.243,553.524,8,261.75983375615806,1
BF2_central.mat,BF2_central.mat_126.62_1247.243,126.62,1247.243,606.887,9,262.90049025418904,1
BF2_central.mat,BF2_central.mat_126.62_1247.243,126.62,1247.243,660.25,10,264.04114675222,1
BF2_central.mat,BF2_central.mat_126.62_1247.243,126.62,1247.243,713.6129999999999,11,265.181803250251,1
BF2_central.mat,BF2_central.mat_126.62_1247.243,126.62,1247.243,766.976,12,266.322459748282,1
BF2_central.mat,BF2_central.mat_126.62_1247.243,126.62,1247.243,820.339,13,267.46311624631295,1
BF2_central.mat,BF2_central.mat_126.62_1247.243,126.62,1247.243,873.702,14,268.6037727443439,1
BF2_central.mat,BF2_central.mat_126.62_1247.243,126.62,1247.243,927.0649999999999,15,269.7444292423749,1
BF2_central.mat,BF2_central.mat_126.62_1247.243,126.62,1247.243,980.428,16,270.8850857404059,1
BF2_central.mat,BF2_central.mat_126.62_1247.243,126.62,1247.243,1033.7910000000002,17,272.02574223843686,1
BF2_central.mat,BF2_central.mat_126.62_1247.243,126.62,1247.243,1087.154,18,273.1663987364678,1
BF2_central.mat,BF2_central.mat_126.62_1247.243,126.62,1247.243,1140.5169999999998,19,274.3070552344988,1
BF2_central.mat,BF2_central.mat_126.62_1247.243,126.62,1247.243,1193.88,20,275.4477117325298,1
BF2_fronting.mat,BF2_fronting.mat_344.411_1653.533,344.411,1653.533,406.75014285714286,1,297.0537962005736,1
BF2_fronting.mat,BF2_fronting.mat_344.411_1653.533,344.411,1653.533,469.08928571428567,2,350.506288205343,1
BF2_fronting.mat,BF2_fronting.mat_344.411_1653.533,344.411,1653.533,531.4284285714285,3,280.5138435328113,1
BF2_fronting.mat,BF2_fronting.mat_344.411_1653.533,344.411,1653.533,593.7675714285714,4,345.8168146139574,1
BF2_fronting.mat,BF2_fronting.mat_344.411_1653.533,344.411,1653.533,656.1067142857142,5,373.74354855475906,1
BF2_fronting.mat,BF2_fronting.mat_344.411_1653.533,344.411,1653.533,718.445857142857,6,251.52254091515363,1
BF2_fronting.mat,BF2_fronting.mat_344.411_1653.533,344.411,1653.533,780.7849999999999,7,296.71907385096773,1
BF2_fronting.mat,BF2_fronting.mat_344.411_1653.533,344.411,1653.533,843.1241428571427,8,226.4373475524476,1
BF2_fronting.mat,BF2_fronting.mat_344.411_1653.533,344.411,1653.533,905.4632857142856,9,314.8866620663287,1
BF2_fronting.mat,BF2_fronting.mat_344.411_1653.533,344.411,1653.533,967.8024285714284,10,312.7196208295673,1
BF2_fronting.mat,BF2_fronting.mat_344.411_1653.533,344.411,1653.533,1030.1415714285713,11,258.59286530929387,1
BF2_fronting.mat,BF2_fronting.mat_344.411_1653.533,344.411,1653.533,1092.4807142857142,12,259.6839089998608,1
BF2_fronting.mat,BF2_fronting.mat_344.411_1653.533,344.411,1653.533,1154.819857142857,13,132.05135788021587,1
BF2_fronting.mat,BF2_fronting.mat_344.411_1653.533,344.411,1653.533,1217.1589999999999,14,233.974632215958,1
BF2_fronting.mat,BF2_fronting.mat_344.411_1653.533,344.411,1653.533,1279.4981428571427,15,223.44938150147723,1
BF2_fronting.mat,BF2_fronting.mat_344.411_1653.533,344.411,1653.533,1341.8372857142856,16,252.95739735644284,1
BF2_fronting.mat,BF2_fronting.mat_344.411_1653.533,344.411,1653.533,1404.1764285714285,17,264.6107693128468,1
BF2_fronting.mat,BF2_fronting.mat_344.411_1653.533,344.411,1653.533,1466.5155714285713,18,257.7234963721724,1
BF2_fronting.mat,BF2_fronting.mat_344.411_1653.533,344.411,1653.533,1528.8547142857142,19,250.83622343149804,1
BF2_fronting.mat,BF2_fronting.mat_344.411_1653.533,344.411,1653.533,1591.193857142857,20,243.9489504908237,1
BF2_mono.mat,BF2_mono.mat_107.246_1545.904,107.246,1545.904,175.7535238095238,1,227.5541844435757,1
BF2_mono.mat,BF2_mono.mat_107.246_1545.904,107.246,1545.904,244.2610476190476,2,238.78036888715147,1
BF2_mono.mat,BF2_mono.mat_107.246_1545.904,107.246,1545.904,312.7685714285714,3,250.0065533307272,1
BF2_mono.mat,BF2_mono.mat_107.246_1545.904,107.246,1545.904,381.2760952380952,4,272.9246523476522,1
BF2_mono.mat,BF2_mono.mat_107.246_1545.904,107.246,1545.904,449.783619047619,5,257.02712292469437,1
BF2_mono.mat,BF2_mono.mat_107.246_1545.904,107.246,1545.904,518.2911428571429,6,260.39814769040476,1
BF2_mono.mat,BF2_mono.mat_107.246_1545.904,107.246,1545.904,586.7986666666666,7,235.78989529768475,1
BF2_mono.mat,BF2_mono.mat_107.246_1545.904,107.246,1545.904,655.3061904761904,8,270.34676940102497,1
BF2_mono.mat,BF2_mono.mat_107.246_1545.904,107.246,1545.904,723.8137142857142,9,267.1384624696836,1
BF2_mono.mat,BF2_mono.mat_107.246_1545.904,107.246,1545.904,792.3212380952381,10,233.80287628595585,1
BF2_mono.mat,BF2_mono.mat_107.246_1545.904,107.246,1545.904,860.8287619047618,11,224.6104804948138,1
BF2_mono.mat,BF2_mono.mat_107.246_1545.904,107.246,1545.904,929.3362857142856,12,217.85455345888678,1
BF2_mono.mat,BF2_mono.mat_107.246_1545.904,107.246,1545.904,997.8438095238095,13,211.09862642295977,1
BF2_mono.mat,BF2_mono.mat_107.246_1545.904,107.246,1545.904,1066.3513333333333,14,204.34269938703275,1
BF2_mono.mat,BF2_mono.mat_107.246_1545.904,107.246,1545.904,1134.8588571428572,15,200.2105583850932,1
BF2_mono.mat,BF2_mono.mat_107.246_1545.904,107.246,1545.904,1203.366380952381,16,207.7661915345524,1
BF2_mono.mat,BF2_mono.mat_107.246_1545.904,107.246,1545.904,1271.8739047619047,17,215.32182468401163,1
