BF1_central.mat,BF1_fronting.mat,BF1_mono.mat,BF1_raising.mat,BF2_central.mat,BF2_fronting.mat,BF2_mono.mat,BF2_raising.mat,BF3_central.mat,BF3_fronting.mat,BF3_mono.mat,BF3_raising.mat,BF4_central.mat,BF4_fronting.mat,BF4_mono.mat,BF4_raising.mat,BF5_central.mat,BF5_fronting.mat,BF5_mono.mat,BF5_raising.mat,BF6_central.mat,BF6_fronting.mat,BF6_mono.mat,BF6_raising.mat,BF7_central.mat,BF7_fronting.mat,BF7_mono.mat,BF7_raising.mat,BF8_central.mat,BF8_fronting.mat,BF8_mono.mat,BF8_raising.mat,BM1_central.mat,BM1_fronting.mat,BM1_mono.mat,BM1_raising.mat,BM2_central.mat,BM2_fronting.mat,BM2_mono.mat,BM2_raising.mat,BM3_central.mat,BM3_fronting.mat,BM3_mono.mat,BM3_raising.mat,BM4_central.mat,BM4_fronting.mat,BM4_mono.mat,BM4_raising.mat,BM5_central.mat,BM5_fronting.mat,BM5_mono.mat,BM5_raising.mat,BM6_central.mat,BM6_fronting.mat,BM6_mono.mat,BM6_raising.mat,BM7_central.mat,BM7_fronting.mat,BM7_mono.mat,BM7_raising.mat,BM8_central.mat,BM8_fronting.mat,BM8_mono.mat,BM8_raising.mat,WF1_central.mat,WF1_fronting.mat,WF1_mono.mat,WF1_raising.mat,WF2_central.mat,WF2_fronting.mat,WF2_raising.mat,WF3_central.mat,WF3_fronting.mat,WF3_mono.mat,WF3_raising.mat,WF4_central.mat,WF4_fronting.mat,WF4_mono.mat,WF4_raising.mat,WF5_central.mat,WF5_fronting.mat,WF5_mono.mat,WF5_raising.mat,WF6_central.mat,WF6_fronting.mat,WF6_mono.mat,WF6_raising.mat,WF7_central.mat,WF7_fronting.mat,WF7_mono.mat,WF7_raising.mat,WF8_fronting.mat,WF8_mono.mat,WF8_raising.mat,WM1_central.mat,WM1_fronting.mat,WM1_mono.mat,WM1_raising.mat,WM2_central.mat,WM2_fronting.mat,WM2_mono.mat,WM2_raising.mat,WM3_central.mat,WM3_fronting.mat,WM3_mono.mat,WM3_raising.mat,WM4_central.mat,WM4_fronting.mat,WM4_mono.mat,WM4_raising.mat,WM5_central.mat,WM5_fronting.mat,WM5_mono.mat,WM5_raising.mat,WM6_central.mat,WM6_fronting.mat,WM6_mono.mat,WM6_raising.mat,WM7_central.mat,WM7_fronting.mat,WM7_mono.mat,WM7_raising.mat,WM8_central.mat,WM8_fronting.mat,WM8_mono.mat,WM8_raising.mat
1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1
0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
