timestamp,prolific_id,participant_id,block,trial_index,speaker,stimulus,audio_file,friendly,professional,funny,competent,trustworthy,pleasant,human_like,dialect_region,perceived_race,perceived_age,gender_scale,age,ethnicity,dialect,first_language,other_languages,gender,speech_disorder,speech_disorder_desc,neurodivergent,neurodivergent_desc,technologies_used,ai_use_frequency,ai_attitude,attention_check_1,attention_check_2,attention_check_3,attention_check_4,attention_check_5,attention_check_6,attention_check_7,attention_check_8,attention_check_9,attention_check_10,attention_check_11,attention_check_12,attention_check_13,attention_check_14,attention_check_15,attention_check_16,attention_check_17,attention_check_18,attention_check_19,attention_check_20,attention_check_21,final_feedback,headphone_type
10/31/2025,67178054a368314e6afa5ed4,67178054a368314e6afa5ed4,Race,18,BF1,raising,BF1_raising.mp3,,,,,,,,Northeastern U.S.,White,35–44,2.30800368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,661b3299bf19db77d7412b86,661b3299bf19db77d7412b86,Personality,6,BM8,passage,BM8_passage.mp3,1,1,1.332763741,4.874811288,4.830117624,2.243757984,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,672451c5f4e558e08242d746,672451c5f4e558e08242d746,Race,51,BM2,mono,BM2_mono.mp3,,,,,,,,Southeastern U.S.,White,25–34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,67d9ef30fe8af2858e8dbbd3,67d9ef30fe8af2858e8dbbd3,Personality,15,WF5,passage,WF5_passage.mp3,7,7,4.849230617,7,3.979620845,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,65b1193868f3449f46325ea8,65b1193868f3449f46325ea8,Personality,8,WM8,passage,WM8_passage.mp3,6.610981308,5.580607477,1.003504673,6.204439252,7,5.818925234,5.349299065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,67178054a368314e6afa5ed4,67178054a368314e6afa5ed4,Race,19,WF6,central,WF6_central.mp3,,,,,,,,Northeastern U.S.,White,18–24,1.654461822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,660cda55786e37b1cbb49717,660cda55786e37b1cbb49717,Race,40,WM1,raising,WM1_raising.mp3,,,,,,,,Southeastern U.S.,White,45–54,5.78661653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,6838df8389ee2a2823f6964a,6838df8389ee2a2823f6964a,Race,21,WF2,fronting,WF2_fronting.mp3,,,,,,,,Northeastern U.S.,White,25–34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,672451c5f4e558e08242d746,672451c5f4e558e08242d746,Race,52,BF7,fronting,BF7_fronting.mp3,,,,,,,,Southeastern U.S.,White,25–34,1.001909612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2025,67178054a368314e6afa5ed4,67178054a368314e6afa5ed4,Race,20,WM1,fronting,WM1_fronting.mp3,,,,,,,,Southwestern U.S.,Black,45–54,6.394112236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
